,Top10,Top20,Top30,Top40,Top50,Top60,Top70,Top80,Top90,Top100
P_NCT02872025,0.7468926906585693,0.6068253517150879,0.934311866760254,0.9150118827819824,0.9023339748382568,0.8002231121063232,0.7492890357971191,0.5700626373291016,0.833284854888916,0.8500452041625977
P_NCT03048942,0.9578020572662354,0.9332056045532228,1.2574312686920166,1.2447240352630615,1.3040566444396973,1.39928936958313,1.1939647197723389,0.9160382747650146,1.3318774700164795,1.368025302886963
P_NCT02448420,0.7539277076721191,0.7428410053253174,1.0233418941497805,1.0152013301849363,1.0771207809448242,1.1487972736358645,0.9444019794464112,0.7282998561859131,1.0486054420471191,0.9765591621398926
P_NCT03740893,0.6993298530578613,0.8990449905395508,0.9238309860229492,0.9918034076690674,1.127446174621582,0.9669265747070312,0.8751866817474365,0.6735663414001465,0.9814121723175048,0.9957230091094972
P_NCT03315364,0.8345367908477783,1.309549331665039,1.2193312644958496,1.0571680068969729,1.207991361618042,1.1982455253601074,1.09796142578125,0.8409450054168701,1.2446975708007812,1.1715078353881836
P_NCT03428802,0.5841977596282959,0.626232385635376,0.8023958206176758,0.7746562957763672,1.4645285606384275,0.7850382328033447,0.7418854236602783,0.6061527729034424,0.8934307098388672,0.8960971832275391
P_NCT02583828,0.6598532199859619,0.7337508201599121,0.8844196796417236,0.879206657409668,0.991997480392456,0.8583488464355469,0.813469648361206,0.6799185276031494,0.9683916568756104,0.9697649478912354
P_NCT02344472,0.6097283363342285,0.6401090621948242,0.7951831817626953,0.7872536182403564,0.8478319644927979,0.7677338123321533,0.6960949897766113,0.6066184043884277,0.8013415336608887,0.9485588073730468
P_NCT02187991,0.6901543140411377,0.7427487373352051,0.8326220512390137,0.9234302043914796,0.8919157981872559,0.9097135066986084,0.7096679210662842,0.6751370429992676,0.9096875190734864,1.111438512802124
P_NCT01785420,0.5881946086883545,0.626835823059082,0.7973310947418213,0.8335387706756592,0.7793962955474854,0.8017637729644775,0.6010563373565674,0.5837054252624512,0.806025505065918,0.827150821685791
P_NCT03324425,0.6530709266662598,0.682610273361206,0.8542540073394775,0.8745906352996826,0.800839900970459,0.9102520942687988,0.6418931484222412,0.6407601833343506,0.9733929634094238,0.8849196434020996
P_NCT03546686,0.8211658000946045,0.9739775657653807,1.1299738883972168,1.1305842399597168,0.878943681716919,1.1378142833709717,0.8032677173614502,0.8681399822235107,0.936511754989624,1.1854355335235596
P_NCT03025035,0.9701910018920898,1.3164138793945312,1.383051872253418,1.332927942276001,1.031684160232544,1.292708396911621,0.9537715911865234,1.3137905597686768,1.229468822479248,1.3045742511749268
P_NCT02095184,0.5925717353820801,0.7858531475067139,0.8068280220031738,0.7786238193511963,0.8137524127960205,0.7373249530792236,0.5768947601318359,0.8560123443603516,0.8167150020599365,0.8334574699401855
P_NCT02760030,0.5815939903259277,0.8037633895874023,0.7693061828613281,0.8195970058441162,0.6529331207275391,0.7735903263092041,0.5742278099060059,0.7993674278259277,0.7429924011230469,0.8381450176239014
P_NCT03500380,0.6402208805084229,0.9085063934326172,0.8612680435180664,0.9054102897644044,0.6848981380462646,0.8222079277038574,0.6874620914459229,0.8272764682769775,0.9019548892974854,0.8954219818115234
P_NCT03515798,0.7171080112457275,1.234724998474121,0.9562926292419434,0.9545598030090332,0.7467563152313232,0.8782875537872314,0.6742064952850342,0.8583052158355713,0.9062023162841796,0.9197897911071776
P_NCT03272334,0.5955715179443359,0.7038545608520508,0.7788693904876709,0.7862894535064697,0.6434502601623535,0.7064065933227539,0.5768692493438721,0.8822481632232666,0.7766880989074707,0.8471536636352539
P_NCT02977468,0.7151052951812744,0.9160211086273192,1.0345749855041504,0.9472622871398926,0.7610678672790527,0.870659351348877,0.6789557933807373,0.8992304801940918,0.8665852546691895,1.0062689781188965
P_NCT02627248,0.5816280841827393,1.0970613956451416,0.8113746643066406,0.8037245273590088,0.62933349609375,0.7384748458862305,0.5658838748931885,0.8592302799224854,0.7228527069091797,0.7726659774780273
P_NCT03747120,0.5878117084503174,0.762991189956665,0.7101945877075195,0.7618658542633057,0.6381876468658447,0.7763762474060059,0.5849316120147705,0.7890186309814453,0.7299709320068359,0.7595243453979492
P_NCT02926690,0.6466615200042725,0.9224770069122314,0.859827995300293,0.9001240730285645,0.7411518096923828,0.8547346591949463,0.623603105545044,0.7682874202728271,0.7927911281585693,0.8507611751556396
P_NCT02716116,0.7002315521240234,1.0723354816436768,0.9589269161224364,0.944664716720581,0.9720416069030762,0.8802640438079834,0.6864564418792725,0.8358922004699707,0.9326958656311036,0.9453575611114502
P_NCT01817452,0.5363128185272217,0.6746554374694824,0.8314096927642822,0.6897444725036621,0.7510497570037842,0.6744000911712646,0.5182332992553711,0.7001662254333496,0.6550462245941162,0.7870593070983887
P_NCT03596073,0.7456719875335693,1.1792171001434326,1.014746904373169,0.9784841537475586,1.0302987098693848,0.9432272911071776,0.7258217334747314,1.056457281112671,1.0598013401031494,1.0620362758636477
P_NCT02965950,0.6918318271636963,0.965240240097046,0.9136412143707277,0.8976917266845703,0.9591066837310792,0.8253564834594727,0.6780679225921631,0.9301810264587402,0.9677581787109376,1.2105836868286133
P_NCT02632448,0.5352683067321777,0.7310445308685303,0.7483482360839844,0.7076923847198486,0.7382264137268066,0.6914925575256348,0.5513219833374023,0.7429907321929932,0.6670117378234863,0.7504880428314209
P_NCT02615457,0.5318899154663086,0.9368600845336914,0.7247292995452881,0.7085714340209961,1.0026836395263672,0.6703627109527588,0.6159794330596924,0.7443015575408936,0.6202297210693359,0.7625846862792969
P_NCT03090165,0.944633960723877,1.2446753978729248,1.3334708213806152,1.2255666255950928,1.5432705879211426,1.2643072605133057,0.9645934104919434,1.1972668170928955,1.3023581504821775,1.1751720905303955
P_NCT03685331,0.7581155300140381,1.0788018703460691,1.0063951015472412,1.037832260131836,1.1049256324768066,0.9305846691131592,0.7374370098114014,0.9785127639770508,0.9586668014526368,1.0363976955413818
